Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2019","2019","t","32","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2020","2020","t","0","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2021","2021","t","0","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4003","Ammonium nitrate (AN)","2022","2022","t","0","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2012","2012","t","5973","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2013","2013","t","5856","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2014","2014","t","5422","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2015","2015","t","5714","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2016","2016","t","5474","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2017","2017","t","6290","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2018","2018","t","5014","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2019","2019","t","3616","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2020","2020","t","4266","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2021","2021","t","5739","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4002","Ammonium sulphate","2022","2022","t","3824","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4030","Fertilizers n.e.c.","2014","2014","t","796","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4030","Fertilizers n.e.c.","2015","2015","t","871","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4030","Fertilizers n.e.c.","2016","2016","t","910","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4030","Fertilizers n.e.c.","2017","2017","t","655","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4030","Fertilizers n.e.c.","2018","2018","t","826","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4030","Fertilizers n.e.c.","2019","2019","t","565","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4030","Fertilizers n.e.c.","2020","2020","t","972","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4030","Fertilizers n.e.c.","2021","2021","t","1184","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4030","Fertilizers n.e.c.","2022","2022","t","2001","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4021","NPK fertilizers","2014","2014","t","4762","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4021","NPK fertilizers","2015","2015","t","4764","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4021","NPK fertilizers","2016","2016","t","6325","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4021","NPK fertilizers","2017","2017","t","7222","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4021","NPK fertilizers","2018","2018","t","6018","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4021","NPK fertilizers","2019","2019","t","5600","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4021","NPK fertilizers","2020","2020","t","3582","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4021","NPK fertilizers","2021","2021","t","10086","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4021","NPK fertilizers","2022","2022","t","4695","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4011","Phosphate rock","2013","2013","t","1","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4011","Phosphate rock","2014","2014","t","1","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4011","Phosphate rock","2015","2015","t","0","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4011","Phosphate rock","2016","2016","t","0","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4011","Phosphate rock","2017","2017","t","2","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4011","Phosphate rock","2018","2018","t","10","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4011","Phosphate rock","2019","2019","t","25","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4011","Phosphate rock","2020","2020","t","10","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4011","Phosphate rock","2021","2021","t","0","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4027","PK compounds","2012","2012","t","298","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4027","PK compounds","2013","2013","t","8","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4027","PK compounds","2014","2014","t","0","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4027","PK compounds","2016","2016","t","0","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4027","PK compounds","2017","2017","t","3","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4027","PK compounds","2018","2018","t","18","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4027","PK compounds","2019","2019","t","26","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4027","PK compounds","2020","2020","t","55","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4027","PK compounds","2021","2021","t","53","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4027","PK compounds","2022","2022","t","129","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2012","2012","t","35","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2013","2013","t","77","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2014","2014","t","97","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2015","2015","t","62","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2016","2016","t","104","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2017","2017","t","120","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2018","2018","t","164","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2019","2019","t","241","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2020","2020","t","153","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2021","2021","t","125","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4025","Potassium nitrate","2022","2022","t","200","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4012","Superphosphates above 35%","2018","2018","t","135","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4012","Superphosphates above 35%","2019","2019","t","0","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4012","Superphosphates above 35%","2020","2020","t","165","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4012","Superphosphates above 35%","2021","2021","t","324","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4013","Superphosphates, other","2020","2020","t","110","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4013","Superphosphates, other","2021","2021","t","212","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4013","Superphosphates, other","2022","2022","t","166","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2012","2012","t","14499","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2013","2013","t","9452","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2014","2014","t","13962","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2015","2015","t","6736","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2016","2016","t","9530","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2017","2017","t","7402","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2018","2018","t","7247","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2019","2019","t","9114","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2020","2020","t","5741","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2021","2021","t","2748","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4001","Urea","2022","2022","t","4775","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2012","2012","t","3","A","Official figure"
"RFB","Fertilizers by Product","480","Mauritius","5157","Agricultural Use","4006","Urea and ammonium nitrate solutions (UAN)","2014","2014","t","1","A","Official figure"
